NAME OF THE COMPANY,,"PAY PACKAGE 
 (Rs. in lakhs p.a.)",BOND,BOND VALUE,NO. PLACED,p_t_id,year,,
MINDTREE, B'LORE,7,NO,NO,,1,2016,,
DELTECS INFOTECH, MUMBAI,5,NO,NO,,1,2016,,
PIDILITE INDUSTRIES,,4.25,NO,NO,3,1,2016,,
AEQUS PVT LTD, B'LORE,0,NO,NO,0,1,2016,,
CDD SOCIETY, B'LORE,0,NO,NO,0,1,2016,,
PIRAMAL ENTERPRISES, MUMBAI,7,NO,NO,1,1,2016,,
GULF CONTRACTING, QATAR,5,NO,NO,,1,2016,,
AAKASH INSTITUTE, NEW DELHI,5.61,NO,NO,2,1,2016,,
COAL INDIA, KOLKATA,8.8,NO,NO,21,1,2016,,
TECH MAHINDRA,,0,NO,NO,0,1,2016,,
NARAYANA GROUP, B'LORE,3.6,NO,NO,0,1,2016,,
ZELO, B'LORE,8,NO,NO,1,1,2016,,
RANG DE, B'LORE,4.5,NO,NO,0,1,2016,,
AFCONS INFRA, MUMBAI,3.36,NO,NO,0,1,2016,,
BIOCON LTD, B'LORE,3.5,NO,NO,0,1,2016,,
ROBOSOFT, UDUPI,0,NO,NO,0,1,2016,,
SONATA SOFTWARE, B'LORE,4,2 years,NO,0,1,2016,,
NTT DATA FA, B'LORE,4.5,NO,NO,3,1,2016,,
PRDC, B'LORE,0,NO,NO,0,1,2016,,
HPCL, MUMBAI,10.64,NO,NO,8,1,2016,,
MOOG INDIA TECH, B'LORE,0,NO,NO,0,1,2016,,
HOME CREDIT INDIA, GURGAON,5.5,NO,NO,5,1,2016,,
PETRONET MHB LTD, M'LORE,5.5,NO,NO,6,1,2016,,
GAIN THEORY, B'LORE,4.2,NO,NO,3,1,2016,,
JAIN COLLEGE OF ENGG,,0,NO,NO,0,1,2016,,
CERNER CORP, B'LORE,5.5,NO,NO,,1,2016,,
EMC B'LORE,,0,NO,NO,0,1,2016,,
THE DAKSHANA FOUNDATION,,7.2,NO,NO,1,1,2016,,
I-EXCEEDE TECHNOLOGY, B'LORE,4,NO,NO,,1,2016,,
EDUTEL TECHNOLOGIES, B'LORE,7.2,NO,NO,,1,2016,,
DALMIA CEMENT, CHENNAI,3,NO,NO,1,1,2016,,
MICROSOFT, HYD,18,NO,NO,4,2,2016,,
MYNTRA DESIGN, B'LORE,19.5,NO,NO,0,2,2016,,
AMAZON, B'LORE,19,NO,NO,2,2,2016,,
ADOBE SYSTEMS, B'LORE,0,NO,NO,0,2,2016,,
CODE NATION, B'LORE,24,NO,NO,0,2,2016,,
PRACTO TECH, B'LORE,20,NO,NO,0,2,2016,,
